"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","ALCOHOL","TOT","LT_CAP15","A","2011",10.1,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2012",10.1,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2013",10.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2014",10.6,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2015",10.4,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2016",9.4,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2017",9.3,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2018",9.2,
"BEL","ALCOHOL","TOT","LT_CAP15","A","2019",9.2,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2005",8,"B"
"CAN","ALCOHOL","TOT","LT_CAP15","A","2006",8.2,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2007",8.4,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2008",8.4,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2009",8.4,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2010",8.4,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2011",8.2,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2012",8.3,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2013",8.2,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2014",8,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2015",8,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2016",8.1,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2017",8.2,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2018",8.2,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2019",8,
"CAN","ALCOHOL","TOT","LT_CAP15","A","2020",8.1,
"CZE","ALCOHOL","TOT","LT_CAP15","A","2005",12,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2006",11.9,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2007",12.1,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2008",12.1,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2009",12.1,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2010",11.4,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2011",11.5,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2012",11.6,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2013",11.5,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2014",11.9,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2015",11.5,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2016",11.7,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2017",11.6,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2018",11.8,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2019",11.9,"D"
"CZE","ALCOHOL","TOT","LT_CAP15","A","2020",11.6,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2005",11.8,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2006",11.6,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2007",11.6,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2008",11.3,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2009",10.6,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2010",10.8,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2011",11,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2012",9.8,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2013",10,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2014",10.1,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2015",9.9,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2016",10,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2017",9.7,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2018",9.7,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2019",9.5,"D"
"DNK","ALCOHOL","TOT","LT_CAP15","A","2020",9.7,"D"
"FIN","ALCOHOL","TOT","LT_CAP15","A","2005",10,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2006",10.1,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2007",10.5,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2008",10.3,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2009",10,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2010",9.7,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2011",9.8,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2012",9.3,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2013",9.1,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2014",8.8,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2015",8.5,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2016",8.4,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2017",8.4,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2018",8.4,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2019",8.2,
"FIN","ALCOHOL","TOT","LT_CAP15","A","2020",8.2,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2005",12.9,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2006",13.1,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2007",12.9,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2008",12.5,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2009",12.6,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2010",12.3,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2011",12.4,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2012",12.2,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2013",11.6,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2014",12,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2015",11.9,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2016",11.7,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2017",11.7,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2018",11.6,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2019",11.4,
"FRA","ALCOHOL","TOT","LT_CAP15","A","2020",10.4,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2005",11.7,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2006",11.8,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2007",11.5,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2008",11.4,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2009",11.2,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2010",11.6,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2011",11.3,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2012",11.3,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2013",11.1,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2014",11.1,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2015",11.1,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2016",11,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2017",10.9,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2018",10.9,
"DEU","ALCOHOL","TOT","LT_CAP15","A","2019",10.6,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2005",9.2,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2006",8.7,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2007",8.9,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2008",8.7,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2009",8.3,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2010",8.3,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2011",7.5,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2012",7.6,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2013",7.6,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2014",7.1,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2015",6.7,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2016",6.7,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2017",6.7,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2018",6.5,
"GRC","ALCOHOL","TOT","LT_CAP15","A","2019",6.3,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2005",13,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2006",13.2,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2007",12.6,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2008",11.8,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2009",11.5,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2010",10.8,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2011",11.4,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2012",11.1,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2013",10.6,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2014",10.9,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2015",10.8,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2016",11.1,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2017",10.7,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2018",11.4,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2019",10.7,
"HUN","ALCOHOL","TOT","LT_CAP15","A","2020",10.4,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2005",7.1,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2006",7.2,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2007",7.5,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2008",7.2,"B"
"ISL","ALCOHOL","TOT","LT_CAP15","A","2009",7.2,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2010",6.8,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2011",6.8,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2012",6.8,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2013",6.8,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2014",7,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2015",7.7,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2016",7.5,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2017",7.7,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2018",7.7,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2019",7.4,
"ISL","ALCOHOL","TOT","LT_CAP15","A","2020",7.4,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2005",13.4,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2006",13.4,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2007",13.2,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2008",12.2,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2009",11,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2010",11.6,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2011",11.7,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2012",11.5,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2013",10.6,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2014",10.8,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2015",10.7,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2016",11.2,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2017",11,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2018",11,"E"
"IRL","ALCOHOL","TOT","LT_CAP15","A","2019",10.8,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2020",10.1,
"IRL","ALCOHOL","TOT","LT_CAP15","A","2021",9.5,"P"
"ITA","ALCOHOL","TOT","LT_CAP15","A","2005",8.7,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2006",8.4,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2007",8.4,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2008",8,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2009",7.3,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2010",7,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2011",7,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2012",7.5,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2013",7.4,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2014",7.6,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2015",7.1,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2016",7.1,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2017",7.4,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2018",7.8,
"ITA","ALCOHOL","TOT","LT_CAP15","A","2019",7.7,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2005",8.5,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2006",7.9,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2007",7.7,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2008",7.5,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2009",7.4,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2010",7.3,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2011",7.3,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2012",7.2,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2013",7.4,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2014",7.1,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2015",7.2,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2016",7.2,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2017",7.2,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2018",7.2,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2019",7.1,
"JPN","ALCOHOL","TOT","LT_CAP15","A","2020",6.7,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2005",9,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2006",9.2,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2007",9.3,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2008",9.5,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2009",8.9,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2010",8.9,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2011",8.9,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2012",9,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2013",8.7,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2014",8.9,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2015",9.1,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2016",8.7,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2017",8.7,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2018",8.5,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2019",8.3,
"KOR","ALCOHOL","TOT","LT_CAP15","A","2020",7.9,
"LUX","ALCOHOL","TOT","LT_CAP15","A","2005",12.3,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2006",12.4,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2007",12.2,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2008",12,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2009",11.9,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2010",11.9,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2011",11.8,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2012",11.8,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2013",11.4,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2014",11.6,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2015",11.5,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2016",11.4,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2017",11.3,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2018",11.1,"D"
"LUX","ALCOHOL","TOT","LT_CAP15","A","2019",11,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2005",5,
"MEX","ALCOHOL","TOT","LT_CAP15","A","2006",5.2,
"MEX","ALCOHOL","TOT","LT_CAP15","A","2007",4.1,
"MEX","ALCOHOL","TOT","LT_CAP15","A","2008",4,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2009",4.3,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2010",4,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2011",4,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2012",3.9,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2013",3.8,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2014",4,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2015",4.3,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2016",4.4,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2017",4.7,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2018",4.8,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2019",4.9,"D"
"MEX","ALCOHOL","TOT","LT_CAP15","A","2020",3.9,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2005",9.6,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2006",9.6,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2007",9.6,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2008",9.7,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2009",9.4,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2010",9.1,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2011",9,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2012",9.1,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2013",8.7,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2014",8.4,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2015",8.3,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2016",8.2,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2017",8.3,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2018",8.3,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2019",8.2,
"NLD","ALCOHOL","TOT","LT_CAP15","A","2020",7.2,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2005",9.3,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2006",9.3,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2007",9.2,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2008",9.5,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2009",9.3,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2010",9.6,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2011",9.5,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2012",9.2,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2013",9.2,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2014",9.1,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2015",8.7,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2016",8.9,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2017",8.8,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2018",8.8,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2019",8.8,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2020",8.7,
"NZL","ALCOHOL","TOT","LT_CAP15","A","2021",8.7,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2005",6.4,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2006",6.5,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2007",6.6,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2008",6.8,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2009",6.7,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2010",6.6,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2011",6.4,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2012",6.2,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2013",6.2,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2014",6.1,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2015",6,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2016",6,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2017",6,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2018",6,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2019",6.1,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2020",7.2,
"NOR","ALCOHOL","TOT","LT_CAP15","A","2021",7.4,
"POL","ALCOHOL","TOT","LT_CAP15","A","2005",9.1,
"POL","ALCOHOL","TOT","LT_CAP15","A","2006",9.9,
"POL","ALCOHOL","TOT","LT_CAP15","A","2007",10.3,
"POL","ALCOHOL","TOT","LT_CAP15","A","2008",10.8,
"POL","ALCOHOL","TOT","LT_CAP15","A","2009",10.2,
"POL","ALCOHOL","TOT","LT_CAP15","A","2010",10,
"POL","ALCOHOL","TOT","LT_CAP15","A","2011",10.3,
"POL","ALCOHOL","TOT","LT_CAP15","A","2012",10.2,
"POL","ALCOHOL","TOT","LT_CAP15","A","2013",10.8,
"POL","ALCOHOL","TOT","LT_CAP15","A","2014",10.5,
"POL","ALCOHOL","TOT","LT_CAP15","A","2015",10.5,
"POL","ALCOHOL","TOT","LT_CAP15","A","2016",10.5,
"POL","ALCOHOL","TOT","LT_CAP15","A","2017",10.6,
"POL","ALCOHOL","TOT","LT_CAP15","A","2018",10.7,
"POL","ALCOHOL","TOT","LT_CAP15","A","2019",11,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2005",12,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2006",11.8,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2007",11.5,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2008",11.5,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2009",11.5,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2010",11.3,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2011",10.9,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2012",9.8,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2013",9.5,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2014",10.2,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2015",10.3,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2016",10.4,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2017",10.4,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2018",10.4,
"PRT","ALCOHOL","TOT","LT_CAP15","A","2019",10.4,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2005",11,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2006",10.6,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2007",10.7,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2008",11.2,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2009",10.7,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2010",10.1,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2011",10.2,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2012",10.1,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2013",9.9,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2014",10.1,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2015",10.2,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2016",9.9,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2017",9.7,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2018",10.1,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2019",10.3,
"SVK","ALCOHOL","TOT","LT_CAP15","A","2020",9.9,"P"
"ESP","ALCOHOL","TOT","LT_CAP15","A","2005",11.9,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2006",11.9,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2007",11.1,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2008",10.2,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2009",10,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2010",9.8,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2011",9.6,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2012",9.4,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2013",9.2,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2014",9.5,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2015",10.4,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2016",10.8,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2017",10.8,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2018",10.4,
"ESP","ALCOHOL","TOT","LT_CAP15","A","2019",10.8,"E"
"ESP","ALCOHOL","TOT","LT_CAP15","A","2020",7.8,"E"
